record_timestamp,devtmpfs,sda1,cs_root,tmpfs_root,usr,nice,sys,iowait,irq,soft,steal,guest,gnice,idle,mem_total,mem_used,mem_free,mem_shared,mem_buffcached,mem_available,swap_total,swap_used,swap_free
2024-02-29 16:18:07.129+02,0,318732,5257556,5257556,10.88,0,8.22,0.59,0,2.6,0,0,0,77.7,3747016,2122012,214636,8728,1643600,1625084,1048572,0,1048572
2024-02-29 16:18:12.15+02,0,318732,5258096,5258088,10.86,0,8.25,0.58,0,2.61,0,0,0,77.68,3747016,2128096,209768,8728,1643692,1618740,1048572,0,1048572
2024-02-29 16:18:17.168+02,0,318732,5258108,5258100,10.85,0,8.26,0.58,0,2.61,0,0,0,77.7,3747016,2117300,220436,8728,1644128,1629496,1048572,0,1048572
2024-02-29 16:18:22.172+02,0,318732,5258248,5258248,10.82,0,8.28,0.58,0,2.61,0,0,0,77.72,3747016,2120740,216056,8728,1644152,1626296,1048572,0,1048572
2024-02-29 16:18:27.198+02,0,318732,5258248,5258248,10.81,0,8.3,0.57,0,2.61,0,0,0,77.71,3747016,2115628,217792,8728,1644284,1631352,1048572,0,1048572
2024-02-29 16:18:32.213+02,0,318732,5258080,5258072,10.8,0,8.31,0.57,0,2.61,0,0,0,77.71,3747016,2113164,224056,8728,1644392,1634068,1048572,0,1048572
2024-02-29 16:18:37.227+02,0,318732,5257832,5257824,10.79,0,8.33,0.57,0,2.62,0,0,0,77.7,3747016,2121632,213808,8728,1646824,1623828,1048572,0,1048572
2024-02-29 16:18:42.31+02,0,318732,5257440,5257440,10.76,0,8.36,0.57,0,2.62,0,0,0,77.69,3747016,2110748,225348,8728,1646692,1635092,1048572,0,1048572
2024-02-29 16:18:47.355+02,0,318732,5257440,5257440,10.74,0,8.37,0.56,0,2.62,0,0,0,77.71,3747016,2121016,207560,8728,1646880,1625860,1048572,0,1048572
2024-02-29 16:18:52.358+02,0,318732,5257660,5257652,10.72,0,8.4,0.56,0,2.63,0,0,0,77.71,3747016,2117428,214920,8728,1645420,1628876,1048572,0,1048572
2024-02-29 16:18:57.391+02,0,318732,5257372,5257364,10.69,0,8.41,0.56,0,2.62,0,0,0,77.73,3747016,2117424,229608,8728,1644456,1628428,1048572,0,1048572
2024-02-29 16:19:03.429+02,0,318732,5257432,5257432,10.66,0,8.43,0.55,0,2.62,0,0,0,77.73,3747016,2126716,224640,8728,1644500,1639776,1048572,0,1048572
2024-02-29 16:19:07.461+02,0,318732,5257432,5257432,10.65,0,8.45,0.55,0,2.63,0,0,0,77.73,3747016,2107076,221276,8728,1644520,1637796,1048572,0,1048572
2024-02-29 16:19:12.488+02,0,318732,5257436,5257428,10.63,0,8.47,0.55,0,2.63,0,0,0,77.72,3747016,2118640,212264,8728,1644512,1627788,1048572,0,1048572
2024-02-29 16:19:17.496+02,0,318732,5257432,5257424,10.61,0,8.48,0.55,0,2.63,0,0,0,77.74,3747016,2129812,204984,8728,1644616,1616956,1048572,0,1048572
2024-02-29 16:19:22.514+02,0,318732,5257488,5257488,10.58,0,8.5,0.55,0,2.63,0,0,0,77.75,3747016,2121748,210488,8728,1647036,1625084,1048572,0,1048572
2024-02-29 16:19:27.559+02,0,318732,5257488,5257488,10.56,0,8.52,0.54,0,2.63,0,0,0,77.74,3747016,2122560,205444,8728,1646676,1617604,1048572,0,1048572
2024-02-29 16:19:33.578+02,0,318732,5257428,5257420,10.55,0,8.53,0.54,0,2.63,0,0,0,77.75,3747016,2107508,219240,8728,1644976,1636532,1048572,0,1048572
2024-02-29 16:19:38.608+02,0,318732,5257460,5257452,10.53,0,8.55,0.54,0,2.64,0,0,0,77.72,3747016,2116108,214584,8728,1644964,1627160,1048572,0,1048572
2024-02-29 16:19:43.645+02,0,318732,5261816,5261820,10.54,0,8.57,0.53,0,2.65,0,0,0,77.7,3747016,2140076,208240,8728,1647328,1622680,1048572,0,1048572
2024-02-29 16:19:48.666+02,0,318732,5254368,5254360,10.53,0,8.59,0.53,0,2.65,0,0,0,77.7,3747016,2133552,196348,8728,1645268,1606948,1048572,0,1048572
2024-02-29 16:19:54.722+02,0,318732,5254380,5254372,10.51,0,8.61,0.53,0,2.65,0,0,0,77.7,3747016,2145192,209912,8728,1641736,1618204,1048572,0,1048572
2024-02-29 16:19:59.737+02,0,318732,5254412,5254404,10.49,0,8.63,0.53,0,2.65,0,0,0,77.71,3747016,2131492,200716,8728,1641660,1609528,1048572,0,1048572
2024-02-29 16:20:04.748+02,0,318732,5254704,5254428,10.47,0,8.65,0.52,0,2.65,0,0,0,77.71,3747016,2122740,211628,8728,1641888,1610328,1048572,0,1048572
2024-02-29 16:20:09.784+02,0,318732,5254708,5254708,10.45,0,8.67,0.52,0,2.66,0,0,0,77.7,3747016,2141456,195652,8728,1641996,1604036,1048572,0,1048572
2024-02-29 16:20:14.812+02,0,318732,5254692,5254688,10.46,0,8.69,0.52,0,2.66,0,0,0,77.66,3747016,2129380,200656,8728,1641928,1616068,1048572,0,1048572
2024-02-29 16:20:19.831+02,0,318732,5254644,5254616,10.44,0,8.72,0.52,0,2.67,0,0,0,77.66,3747016,2116836,210376,8728,1642196,1623460,1048572,0,1048572
2024-02-29 16:20:24.866+02,0,318732,5254688,5254688,10.41,0,8.73,0.52,0,2.67,0,0,0,77.68,3747016,2111672,220392,8728,1642304,1629764,1048572,0,1048572
2024-02-29 16:20:29.894+02,0,318732,5255200,5255200,10.4,0,8.76,0.51,0,2.67,0,0,0,77.65,3747016,2141168,195484,8728,1642272,1604164,1048572,0,1048572
2024-02-29 16:20:34.886+02,0,318732,5255132,5255128,10.45,0,8.77,0.51,0,2.67,0,0,0,77.6,3747016,2119112,218440,8728,1642216,1627404,1048572,0,1048572
